date,description,amount
2026-01-02,ACME PAYROLL SALARY JAN,4820.00
2026-01-02,NORTHGATE PROPERTY RENT,-1450.00
2026-01-03,TESCO SUPERSTORE 4471,-82.14
2026-01-03,GITHUB.COM COPILOT,-10.00
2026-01-04,TFL TRAVEL CHARGE,-6.80
2026-01-05,PRET A MANGER 221,-9.45
2026-01-05,AWS EMEA CLOUD SERVICES,-118.62
2026-01-06,BRITISH GAS DD,-96.00
2026-01-07,AMZN MKTP UK*2X8F91,-34.99
2026-01-08,NETFLIX.COM,-12.99
2026-01-09,SAINSBURYS LOCAL 2201,-23.60
2026-01-10,UBER TRIP HELP.UBER.COM,-18.40
2026-01-11,BOOTS PHARMACY 1184,-14.25
2026-01-12,TRANSFER TO SAVINGS ACCT,-500.00
2026-01-13,CURSOR AI PRO,-20.00
2026-01-14,THAMES WATER DD,-38.50
2026-01-15,SPOTIFY UK,-11.99
2026-01-16,SHELL FUEL STATION 8812,-64.30
2026-01-17,DELIVEROO ORDER 99214,-27.80
2026-01-18,VODAFONE UK MOBILE,-24.00
2026-01-19,WAITROSE 0182,-61.05
2026-01-20,ODEON CINEMAS LEICESTER,-19.00
2026-01-21,NAMECHEAP DOMAIN RENEWAL,-13.16
2026-01-22,PUREGYM MEMBERSHIP,-29.99
2026-01-23,CO-OP FOOD 3341,-17.42
2026-01-24,TRAINLINE LDN-MAN RETURN,-88.40
2026-01-25,REFUND AMZN MKTP UK,22.50
2026-01-26,VERCEL INC PRO PLAN,-20.00
2026-01-27,COSTA COFFEE 771,-4.85
2026-01-28,ZARA UK 4412,-79.90
2026-01-29,COUNCIL TAX LBH DD,-182.00
2026-01-30,LINODE AKAMAI HOSTING,-24.00
2026-02-01,ACME PAYROLL SALARY FEB,4820.00
2026-02-01,NORTHGATE PROPERTY RENT,-1450.00
2026-02-02,ALDI 1123,-48.77
2026-02-03,BOOKING.COM LISBON HOTEL,-312.00
2026-02-04,RYANAIR FLIGHT FR2211,-96.40
2026-02-05,APPLE.COM/BILL ICLOUD,-2.99
2026-02-06,DENTAL PRACTICE HARLEY,-120.00
2026-02-07,MARKS & SPENCER FOOD,-35.20
2026-02-08,PAYPAL *STEAMGAMES,-24.99
2026-02-09,ANTHROPIC CLAUDE PRO,-18.00
2026-02-10,MCDONALDS 4417,-8.60
2026-02-11,SCREWFIX DIRECT 221,-42.15
2026-02-12,CREDIT CARD PAYMENT THANK YOU,-800.00
2026-02-13,OCADO RETAIL LTD,-104.33
2026-02-14,BP CONNECT 5512,-58.90
2026-02-15,ADOBE CREATIVE CLOUD,-19.97
2026-02-16,LEON RESTAURANTS 88,-12.40
2026-02-17,EE BROADBAND DD,-32.00
2026-02-18,INTEREST PAID,3.14
