date,description,amount
2025-10-01,TFL TRAVEL CHARGE,-11.48
2025-10-02,LOOMSTACK ANALYTICS,-12.00
2025-10-02,NETFLIX.COM 4471,-15.99
2025-10-03,SPOTIFY UK LTD,-11.99
2025-10-03,TESCO SUPERSTORE 4000,-50.78
2025-10-04,PUREGYM LTD DD,-32.99
2025-10-05,CLOUDSYNC PRO TRIAL,-9.00
2025-10-05,GRIND COFFEE SHOREDITCH,-9.28
2025-10-06,ARGOS RETAIL 3311,-84.99
2025-10-06,VODAFONE LTD MOBILE DD,-28.46
2025-10-07,ADOBE SYSTEMS 8812,-19.97
2025-10-08,AXA HOME INSURANCE DD,-21.40
2025-10-08,THAMES WATER QUARTERLY,-74.20
2025-10-09,THE TIMES DIGITAL,-8.00
2025-10-10,PROVIDENCE MINDFUL APP,-4.99
2025-10-10,TESCO SUPERSTORE 4001,-72.36
2025-10-10,TFL TRAVEL CHARGE,-9.03
2025-10-14,NAMECHEAP DOMAIN RENEWAL,-46.00
2025-10-17,BRITISH AIRWAYS TICKET,-212.40
2025-10-17,TESCO SUPERSTORE 4002,-49.80
2025-10-19,TFL TRAVEL CHARGE,-10.64
2025-10-22,GRIND COFFEE SHOREDITCH,-3.93
2025-10-24,TESCO SUPERSTORE 4003,-68.81
2025-10-28,ACME PAYROLL SALARY,4120.00
2025-10-28,SCREWFIX DIRECT,-37.15
2025-10-28,TFL TRAVEL CHARGE,-6.18
2025-10-31,TESCO SUPERSTORE 4004,-51.35
2025-11-01,LOOMSTACK ANALYTICS,-12.00
2025-11-01,NETFLIX.COM 4471,-15.99
2025-11-02,SPOTIFY UK LTD,-11.99
2025-11-03,PUREGYM LTD DD,-32.99
2025-11-03,ROYAL PHOTOGRAPHIC SOC MEMBERSHIP,-115.00
2025-11-04,CLOUDSYNC PRO TRIAL,-9.00
2025-11-05,VODAFONE LTD MOBILE DD,-27.68
2025-11-06,ADOBE SYSTEMS 8812,-19.97
2025-11-06,TFL TRAVEL CHARGE,-6.15
2025-11-07,AXA HOME INSURANCE DD,-21.40
2025-11-07,TESCO SUPERSTORE 4005,-52.35
2025-11-08,BOOTS PHARMACY 221,-12.60
2025-11-08,GRIND COFFEE SHOREDITCH,-5.79
2025-11-08,THE TIMES DIGITAL,-8.00
2025-11-09,PROVIDENCE MINDFUL APP,-4.99
2025-11-14,TESCO SUPERSTORE 4006,-68.38
2025-11-15,TFL TRAVEL CHARGE,-7.49
2025-11-19,JOHN LEWIS PARTNERS,-149.00
2025-11-21,TESCO SUPERSTORE 4007,-87.69
2025-11-24,TFL TRAVEL CHARGE,-11.86
2025-11-25,GRIND COFFEE SHOREDITCH,-7.89
2025-11-27,ACME PAYROLL SALARY,4120.00
2025-11-28,TESCO SUPERSTORE 4008,-53.94
2025-12-01,LOOMSTACK ANALYTICS,-12.00
2025-12-01,NETFLIX.COM 4471,-15.99
2025-12-02,SPOTIFY UK LTD,-11.99
2025-12-03,PUREGYM LTD DD,-32.99
2025-12-03,TFL TRAVEL CHARGE,-9.53
2025-12-04,CLOUDSYNC PRO TRIAL,-9.00
2025-12-05,TESCO SUPERSTORE 4009,-58.72
2025-12-05,VODAFONE LTD MOBILE DD,-29.93
2025-12-06,ADOBE SYSTEMS 8812,-19.97
2025-12-07,AXA HOME INSURANCE DD,-21.40
2025-12-08,THE TIMES DIGITAL,-8.00
2025-12-09,PROVIDENCE MINDFUL APP,-4.99
2025-12-12,GRIND COFFEE SHOREDITCH,-4.14
2025-12-12,TESCO SUPERSTORE 4010,-78.12
2025-12-12,TFL TRAVEL CHARGE,-8.49
2025-12-19,TESCO SUPERSTORE 4011,-93.49
2025-12-21,TFL TRAVEL CHARGE,-10.99
2025-12-26,TESCO SUPERSTORE 4012,-75.70
2025-12-27,ACME PAYROLL SALARY,4120.00
2025-12-29,GRIND COFFEE SHOREDITCH,-6.23
2025-12-30,TFL TRAVEL CHARGE,-9.77
2025-12-31,LOOMSTACK ANALYTICS,-12.00
2025-12-31,NETFLIX.COM 4471,-15.99
2026-01-01,SPOTIFY UK LTD,-11.99
2026-01-02,PUREGYM LTD DD,-32.99
2026-01-02,TESCO SUPERSTORE 4013,-67.04
2026-01-03,CLOUDSYNC PRO TRIAL,-9.00
2026-01-04,VODAFONE LTD MOBILE DD,-27.33
2026-01-05,ADOBE SYSTEMS 8812,-19.97
2026-01-06,AXA HOME INSURANCE DD,-21.40
2026-01-07,THE TIMES DIGITAL,-8.00
2026-01-08,PROVIDENCE MINDFUL APP,-4.99
2026-01-08,TFL TRAVEL CHARGE,-8.36
2026-01-08,THAMES WATER QUARTERLY,-74.20
2026-01-09,TESCO SUPERSTORE 4014,-94.86
2026-01-12,ROYAL PHOTOGRAPHIC SOC MEMBERSHIP,-119.00
2026-01-15,GRIND COFFEE SHOREDITCH,-3.44
2026-01-16,TESCO SUPERSTORE 4015,-50.24
2026-01-17,TFL TRAVEL CHARGE,-12.91
2026-01-23,TESCO SUPERSTORE 4016,-89.21
2026-01-26,ACME PAYROLL SALARY,4120.00
2026-01-26,TFL TRAVEL CHARGE,-12.03
2026-01-30,LOOMSTACK ANALYTICS,-12.00
2026-01-30,NETFLIX.COM 4471,-15.99
2026-01-30,TESCO SUPERSTORE 4017,-61.90
2026-01-31,SPOTIFY UK LTD,-11.99
2026-02-01,GRIND COFFEE SHOREDITCH,-7.34
2026-02-01,PUREGYM LTD DD,-32.99
2026-02-02,CLOUDSYNC PRO TRIAL,-9.00
2026-02-03,VODAFONE LTD MOBILE DD,-29.41
2026-02-04,ADOBE SYSTEMS 8812,-19.97
2026-02-04,TFL TRAVEL CHARGE,-7.85
2026-02-05,AXA HOME INSURANCE DD,-21.40
2026-02-06,TESCO SUPERSTORE 4018,-54.92
2026-02-06,THE TIMES DIGITAL,-8.00
2026-02-07,PROVIDENCE MINDFUL APP,-4.99
2026-02-13,TESCO SUPERSTORE 4019,-53.65
2026-02-13,TFL TRAVEL CHARGE,-10.88
2026-02-18,GRIND COFFEE SHOREDITCH,-7.94
2026-02-20,TESCO SUPERSTORE 4020,-62.81
2026-02-22,TFL TRAVEL CHARGE,-10.43
2026-02-25,ACME PAYROLL SALARY,4120.00
2026-02-27,TESCO SUPERSTORE 4021,-87.17
2026-03-01,LOOMSTACK ANALYTICS,-12.00
2026-03-01,NETFLIX.COM 4471,-15.99
2026-03-02,SPOTIFY UK LTD,-11.99
2026-03-03,PUREGYM LTD DD,-32.99
2026-03-03,TFL TRAVEL CHARGE,-13.65
2026-03-04,CLOUDSYNC PRO TRIAL,-9.00
2026-03-05,VODAFONE LTD MOBILE DD,-28.65
2026-03-06,ADOBE SYSTEMS 8812,-19.97
2026-03-06,TESCO SUPERSTORE 4022,-56.67
2026-03-07,AXA HOME INSURANCE DD,-21.40
2026-03-08,THE TIMES DIGITAL,-8.00
2026-03-09,PROVIDENCE MINDFUL APP,-4.99
2026-03-12,TFL TRAVEL CHARGE,-12.31
2026-03-13,TESCO SUPERSTORE 4023,-75.92
2026-03-21,TFL TRAVEL CHARGE,-8.25
2026-03-27,ACME PAYROLL SALARY,4120.00
