txn_id,date,merchant,amount,card
TXN-501,2026-03-02,SQ *BLUEBIRD COFFEE,4.85,VISA-4417
TXN-502,2026-03-02,DISHOOM KINGS CROSS,98.40,VISA-4417
TXN-503,2026-03-03,UBER *TRIP HELP.UBER.C,23.10,VISA-4417
TXN-504,2026-03-03,AMZN MKTP UK*2K8LP,142.99,VISA-4417
TXN-505,2026-03-04,TFL TRAVEL CH,8.40,VISA-4417
TXN-506,2026-03-05,PREMIER INN LONDON CITY,189.00,VISA-4417
TXN-507,2026-03-05,PRET A MANGER 442,12.20,VISA-4417
TXN-508,2026-03-05,PRET A MANGER 118,12.20,VISA-4417
TXN-509,2026-03-06,WEWORK COMMONS,275.00,VISA-4417
TXN-510,2026-03-09,BA 125-4471880 LONDON,412.60,VISA-4417
TXN-511,2026-03-10,HERTZ RENT A CAR EDI,96.75,VISA-4417
TXN-512,2026-03-11,STARBUCKS 8812,6.15,VISA-4417
TXN-513,2026-03-12,ADOBE SYSTEMS EUROPE,19.97,VISA-4417
TXN-514,2026-03-13,LE PETIT ZINC PARIS,64.32,VISA-4417
TXN-515,2026-03-16,OFFICE DEPOT 221,58.00,VISA-4417
