date,series,value
2023-09-01,api_latency_p95,246.4
2023-09-02,api_latency_p95,192.0
2023-09-03,api_latency_p95,185.7
2023-09-04,api_latency_p95,230.4
2023-09-05,api_latency_p95,227.8
2023-09-06,api_latency_p95,218.9
2023-09-07,api_latency_p95,182.3
2023-09-08,api_latency_p95,218.9
2023-09-09,api_latency_p95,214.6
2023-09-10,api_latency_p95,243.3
2023-09-11,api_latency_p95,202.9
2023-09-12,api_latency_p95,244.5
2023-09-13,api_latency_p95,182.2
2023-09-14,api_latency_p95,255.1
2023-09-15,api_latency_p95,240.5
2023-09-16,api_latency_p95,254.6
2023-09-17,api_latency_p95,191.1
2023-09-18,api_latency_p95,225.3
2023-09-19,api_latency_p95,194.0
2023-09-20,api_latency_p95,200.4
2023-09-21,api_latency_p95,207.5
2023-09-22,api_latency_p95,248.6
2023-09-23,api_latency_p95,201.5
2023-09-24,api_latency_p95,208.0
2023-09-25,api_latency_p95,204.4
2023-09-26,api_latency_p95,257.7
2023-09-27,api_latency_p95,200.6
2023-09-28,api_latency_p95,205.9
2023-09-29,api_latency_p95,202.3
2023-09-30,api_latency_p95,219.3
2023-10-01,api_latency_p95,206.1
2023-10-02,api_latency_p95,233.0
2023-10-03,api_latency_p95,194.3
2023-10-04,api_latency_p95,235.0
2023-10-05,api_latency_p95,191.1
2023-10-06,api_latency_p95,203.3
2023-10-07,api_latency_p95,217.4
2023-10-08,api_latency_p95,242.1
2023-10-09,api_latency_p95,192.6
2023-10-10,api_latency_p95,193.2
2023-10-11,api_latency_p95,215.6
2023-10-12,api_latency_p95,246.9
2023-10-13,api_latency_p95,251.4
2023-10-14,api_latency_p95,259.7
2023-10-15,api_latency_p95,257.3
2023-10-16,api_latency_p95,236.9
2023-10-17,api_latency_p95,267.6
2023-10-18,api_latency_p95,248.8
2023-10-19,api_latency_p95,201.0
2023-10-20,api_latency_p95,0.0
2023-10-21,api_latency_p95,0.0
2023-10-22,api_latency_p95,0.0
2023-10-23,api_latency_p95,263.2
2023-10-24,api_latency_p95,220.7
2023-10-25,api_latency_p95,256.5
2023-10-26,api_latency_p95,240.4
2023-10-27,api_latency_p95,259.5
2023-10-28,api_latency_p95,218.4
2023-10-29,api_latency_p95,214.1
2023-10-30,api_latency_p95,222.0
2023-10-31,api_latency_p95,204.5
2023-11-01,api_latency_p95,251.8
2023-11-02,api_latency_p95,201.1
2023-11-03,api_latency_p95,261.4
2023-11-04,api_latency_p95,247.0
2023-11-05,api_latency_p95,260.5
2023-11-06,api_latency_p95,236.3
2023-11-07,api_latency_p95,254.3
2023-11-08,api_latency_p95,253.4
2023-11-09,api_latency_p95,231.3
2023-11-10,api_latency_p95,271.5
2023-11-11,api_latency_p95,249.1
2023-11-12,api_latency_p95,268.3
2023-11-13,api_latency_p95,251.7
2023-11-14,api_latency_p95,251.4
2023-11-15,api_latency_p95,276.8
2023-11-16,api_latency_p95,228.3
2023-11-17,api_latency_p95,211.1
2023-11-18,api_latency_p95,241.4
2023-11-19,api_latency_p95,264.8
2023-11-20,api_latency_p95,216.4
2023-11-21,api_latency_p95,268.5
2023-11-22,api_latency_p95,276.9
2023-11-23,api_latency_p95,228.5
2023-11-24,api_latency_p95,269.8
2023-11-25,api_latency_p95,270.3
2023-11-26,api_latency_p95,279.8
2023-11-27,api_latency_p95,248.1
2023-11-28,api_latency_p95,280.5
2023-11-29,api_latency_p95,250.8
2023-09-01,checkout_errors,12
2023-09-02,checkout_errors,12
2023-09-03,checkout_errors,15
2023-09-04,checkout_errors,15
2023-09-05,checkout_errors,17
2023-09-06,checkout_errors,6
2023-09-07,checkout_errors,9
2023-09-08,checkout_errors,15
2023-09-09,checkout_errors,13
2023-09-10,checkout_errors,17
2023-09-11,checkout_errors,9
2023-09-12,checkout_errors,10
2023-09-13,checkout_errors,15
2023-09-14,checkout_errors,11
2023-09-15,checkout_errors,13
2023-09-16,checkout_errors,10
2023-09-17,checkout_errors,9
2023-09-18,checkout_errors,8
2023-09-19,checkout_errors,14
2023-09-20,checkout_errors,11
2023-09-21,checkout_errors,15
2023-09-22,checkout_errors,10
2023-09-23,checkout_errors,17
2023-09-24,checkout_errors,10
2023-09-25,checkout_errors,12
2023-09-26,checkout_errors,11
2023-09-27,checkout_errors,16
2023-09-28,checkout_errors,15
2023-09-29,checkout_errors,16
2023-09-30,checkout_errors,13
2023-10-01,checkout_errors,17
2023-10-02,checkout_errors,15
2023-10-03,checkout_errors,14
2023-10-04,checkout_errors,15
2023-10-05,checkout_errors,8
2023-10-06,checkout_errors,7
2023-10-07,checkout_errors,7
2023-10-08,checkout_errors,13
2023-10-09,checkout_errors,6
2023-10-10,checkout_errors,17
2023-10-11,checkout_errors,14
2023-10-12,checkout_errors,12
2023-10-13,checkout_errors,14
2023-10-14,checkout_errors,14
2023-10-15,checkout_errors,15
2023-10-16,checkout_errors,10
2023-10-17,checkout_errors,13
2023-10-18,checkout_errors,10
2023-10-19,checkout_errors,15
2023-10-20,checkout_errors,13
2023-10-21,checkout_errors,11
2023-10-22,checkout_errors,6
2023-10-23,checkout_errors,8
2023-10-24,checkout_errors,16
2023-10-25,checkout_errors,11
2023-10-26,checkout_errors,10
2023-10-27,checkout_errors,11
2023-10-28,checkout_errors,16
2023-10-29,checkout_errors,9
2023-10-30,checkout_errors,11
2023-10-31,checkout_errors,11
2023-11-01,checkout_errors,6
2023-11-02,checkout_errors,15
2023-11-03,checkout_errors,6
2023-11-04,checkout_errors,7
2023-11-05,checkout_errors,13
2023-11-06,checkout_errors,8
2023-11-07,checkout_errors,11
2023-11-08,checkout_errors,512
2023-11-09,checkout_errors,143
2023-11-10,checkout_errors,7
2023-11-11,checkout_errors,11
2023-11-12,checkout_errors,12
2023-11-13,checkout_errors,11
2023-11-14,checkout_errors,15
2023-11-15,checkout_errors,16
2023-11-16,checkout_errors,15
2023-11-17,checkout_errors,10
2023-11-18,checkout_errors,14
2023-11-19,checkout_errors,7
2023-11-20,checkout_errors,15
2023-11-21,checkout_errors,14
2023-11-22,checkout_errors,11
2023-11-23,checkout_errors,12
2023-11-24,checkout_errors,12
2023-11-25,checkout_errors,10
2023-11-26,checkout_errors,15
2023-11-27,checkout_errors,8
2023-11-28,checkout_errors,6
2023-11-29,checkout_errors,15
2023-09-01,revenue,18324.16
2023-09-02,revenue,9602.67
2023-09-03,revenue,9384.27
2023-09-04,revenue,17451.47
2023-09-05,revenue,18739.16
2023-09-06,revenue,17532.49
2023-09-07,revenue,18446.37
2023-09-08,revenue,18856.76
2023-09-09,revenue,9481.3
2023-09-10,revenue,9995.6
2023-09-11,revenue,17661.05
2023-09-12,revenue,18380.42
2023-09-13,revenue,18011.06
2023-09-14,revenue,18446.51
2023-09-15,revenue,18185.66
2023-09-16,revenue,10179.27
2023-09-17,revenue,9398.69
2023-09-18,revenue,18640.91
2023-09-19,revenue,19095.32
2023-09-20,revenue,18290.71
2023-09-21,revenue,19669.78
2023-09-22,revenue,19154.17
2023-09-23,revenue,9752.46
2023-09-24,revenue,9561.19
2023-09-25,revenue,19127.63
2023-09-26,revenue,18889.06
2023-09-27,revenue,18182.33
2023-09-28,revenue,18282.08
2023-09-29,revenue,19981.9
2023-09-30,revenue,9722.14
2023-10-01,revenue,10432.89
2023-10-02,revenue,18594.91
2023-10-03,revenue,18472.3
2023-10-04,revenue,18607.72
2023-10-05,revenue,18604.38
2023-10-06,revenue,18845.28
2023-10-07,revenue,5601.89
2023-10-08,revenue,5429.81
2023-10-09,revenue,20103.75
2023-10-10,revenue,19519.7
2023-10-11,revenue,20342.58
2023-10-12,revenue,20144.63
2023-10-13,revenue,20198.33
2023-10-14,revenue,10897.08
2023-10-15,revenue,10575.59
2023-10-16,revenue,19585.38
2023-10-17,revenue,20204.58
2023-10-18,revenue,19565.74
2023-10-19,revenue,19960.46
2023-10-20,revenue,18833.33
2023-10-21,revenue,11100.76
2023-10-22,revenue,10843.53
2023-10-23,revenue,19845.26
2023-10-24,revenue,19879.31
2023-10-25,revenue,20448.6
2023-10-26,revenue,19149.8
2023-10-27,revenue,20345.97
2023-10-28,revenue,10385.11
2023-10-29,revenue,10687.24
2023-10-30,revenue,20387.77
2023-10-31,revenue,18625.52
2023-11-01,revenue,19836.84
2023-11-02,revenue,18898.03
2023-11-03,revenue,19143.2
2023-11-04,revenue,10850.55
2023-11-05,revenue,11459.39
2023-11-06,revenue,19076.54
2023-11-07,revenue,19098.45
2023-11-08,revenue,19873.09
2023-11-09,revenue,20493.59
2023-11-10,revenue,20361.01
2023-11-11,revenue,11529.71
2023-11-12,revenue,11420.74
2023-11-13,revenue,19281.41
2023-11-14,revenue,20434.6
2023-11-15,revenue,21029.01
2023-11-16,revenue,20901.26
2023-11-17,revenue,19886.51
2023-11-18,revenue,10664.54
2023-11-19,revenue,10851.43
2023-11-20,revenue,19304.28
2023-11-21,revenue,20519.13
2023-11-22,revenue,19207.94
2023-11-23,revenue,6400.97
2023-11-24,revenue,48711.4
2023-11-25,revenue,11812.87
2023-11-26,revenue,11401.82
2023-11-27,revenue,20234.01
2023-11-28,revenue,20283.37
2023-11-29,revenue,20249.22
2023-09-01,signups,427
2023-09-02,signups,268
2023-09-03,signups,273
2023-09-04,signups,408
2023-09-05,signups,463
2023-09-06,signups,414
2023-09-07,signups,417
2023-09-08,signups,433
2023-09-09,signups,274
2023-09-10,signups,293
2023-09-11,signups,428
2023-09-12,signups,456
2023-09-13,signups,468
2023-09-14,signups,466
2023-09-15,signups,417
2023-09-16,signups,265
2023-09-17,signups,267
2023-09-18,signups,463
2023-09-19,signups,428
2023-09-20,signups,424
2023-09-21,signups,476
2023-09-22,signups,431
2023-09-23,signups,271
2023-09-24,signups,297
2023-09-25,signups,427
2023-09-26,signups,445
2023-09-27,signups,458
2023-09-28,signups,479
2023-09-29,signups,470
2023-09-30,signups,307
2023-10-01,signups,276
2023-10-02,signups,443
2023-10-03,signups,439
2023-10-04,signups,463
2023-10-05,signups,486
2023-10-06,signups,458
2023-10-07,signups,302
2023-10-08,signups,318
2023-10-09,signups,443
2023-10-10,signups,477
2023-10-11,signups,465
2023-10-12,signups,441
2023-10-13,signups,482
2023-10-14,signups,300
2023-10-15,signups,303
2023-10-16,signups,478
2023-10-17,signups,446
2023-10-18,signups,486
2023-10-19,signups,470
2023-10-20,signups,446
2023-10-21,signups,319
2023-10-22,signups,303
2023-10-23,signups,459
2023-10-24,signups,474
2023-10-25,signups,460
2023-10-26,signups,502
2023-10-27,signups,458
2023-10-28,signups,326
2023-10-29,signups,317
2023-10-30,signups,491
2023-10-31,signups,513
2023-11-01,signups,507
2023-11-02,signups,474
2023-11-03,signups,484
2023-11-04,signups,311
2023-11-05,signups,330
2023-11-06,signups,501
2023-11-07,signups,461
2023-11-08,signups,477
2023-11-09,signups,499
2023-11-10,signups,517
2023-11-11,signups,317
2023-11-12,signups,327
2023-11-13,signups,522
2023-11-14,signups,510
2023-11-15,signups,480
2023-11-16,signups,501
2023-11-17,signups,521
2023-11-18,signups,339
2023-11-19,signups,349
2023-11-20,signups,492
2023-11-21,signups,504
2023-11-22,signups,531
2023-11-23,signups,488
2023-11-24,signups,1850
2023-11-25,signups,706
2023-11-26,signups,333
2023-11-27,signups,513
2023-11-28,signups,516
2023-11-29,signups,504
