response_id,response
R001,"Honestly it just got too expensive. £15.99 a month for something I open maybe twice a month isn't worth it."
R002,"idk"
R003,"The app crashed every single time I tried to download an episode for my commute, and I emailed support three times and never heard back."
R004,"Moved to Netflix. Cheaper family plan and my kids actually use it."
R005,"n/a"
R006,"You put the price up twice in eighteen months with no warning. That was the end of it for me."
R007,"I'm pausing over the summer while I'm travelling, I'll almost certainly be back in September when the new season drops."
R008,"Nothing new worth watching. Same twenty shows on the homepage for six months."
R009,"I was charged twice in March and nobody could explain why. Refund took five weeks."
R010,"There's no way to watch on my old smart TV any more since the last update removed the app."
R011,"-"
R012,"The interface is baffling. I can never find the thing I was halfway through. Where is continue watching?"
R013,"I moved to Japan for work and the service isn't available here."
R014,"Got a subscription through my employer so I don't need my own any more."
R015,"Buffering constantly even on fibre. Support told me to restart my router, which obviously did nothing."
R016,"Too pricey and I barely used it. Both really."
R017,"You removed downloads from the standard tier. That was the only reason I subscribed."
R018,"Signed up for the free trial, forgot to cancel, got charged the full year. Not doing that again."
R019,"Just don't watch TV any more, life got busy."
R020,"Switched to Disney+ because my daughter wanted it and we can't justify two."
R021,"Customer service was genuinely rude to me on chat. That's it, that's the reason."
R022,"The show I subscribed for ended and there's nothing else on there for me."
R023,"Terrible value. Half the catalogue is stuff I've already seen on free TV."
R024,"App is unusable on Android, freezes on launch about one time in three."
R025,"Cancelling took me twenty minutes of clicking through retention offers. Insulting."
R026,"Money's tight this year, cutting everything non-essential."
R027,"no comment"
R028,"I want to subscribe again once my finances recover, this isn't about the service itself."
R029,"Recommendations are useless, it keeps pushing reality shows when I only watch documentaries."
R030,"Between this, Spotify and the gym something had to go and this was the one I used least."
R031,"Subtitles are out of sync on half the library and have been for a year despite reporting it."
R032,"Honestly I don't remember signing up for this."
R033,"Prime Video gives me the same content bundled with delivery, so this became redundant."
R034,"There's no profile for kids with proper controls, my nephew watched something he shouldn't have."
R035,"Great service, I just genuinely never got round to using it. Entirely my own fault."
R036,"The new pricing tier with adverts is a joke. Paying more for a worse experience."
R037,"I only ever wanted it for the live sport and you lost the rights."
R038,"Password sharing crackdown. My partner and I live apart half the week and now it doesn't work."
R039,"Because"
R040,"Website kept logging me out and the reset password email never arrived, gave up in the end."
