ticket_id,plan_tier,tenure_months,seats,monthly_spend,prior_tickets_90d,first_response_hours,ticket_text,churned_within_90d
T-2000,pro,52,13,182.19,5,22.6,Quick one - the SSO login flow keeps failing for us. This is the fourth time we've raised it.,0
T-2001,enterprise,40,74,1638.7,8,1.7,Raising this again: the weekly digest email. My team is completely blocked and cannot ship today. A colleague has been pushing us towards Brightloom for this reason. What notice period do we need to give to terminate? Cheers.,1
T-2002,pro,41,41,522.52,3,0.7,"Hello support, the dashboard filters is not working as expected. We've been round this loop before with your team. Happy to jump on a call whenever suits. Appreciate it.",0
T-2003,enterprise,4,369,8125.23,2,25.9,Logging a ticket about the dashboard filters. My team is completely blocked and cannot ship today. Cheers.,0
T-2004,free,10,3,32.88,7,2.0,"Hello support, the billing portal is not working as expected. Happy to jump on a call whenever suits. Many thanks.",0
T-2005,free,45,5,17.8,0,0.5,Quick one - the API rate limits keeps failing for us. At this point I'm not sure we'll stay past the contract. Can you tell me the process for closing the account and exporting our data? Many thanks.,1
T-2006,pro,16,47,589.72,0,8.2,Quick one - the CSV export keeps failing for us. We reported the same thing last month and it came back. My team is completely blocked and cannot ship today. There's a line on the bill nobody here recognises.,0
T-2007,free,7,1,1.8,0,1.2,Logging a ticket about the audit log. We reported the same thing last month and it came back. My team is completely blocked and cannot ship today. What notice period do we need to give to terminate? Cheers.,1
T-2008,free,38,4,19.42,9,1.7,Raising this again: the billing portal. Nobody in the office can work until this clears. There's a line on the bill nobody here recognises. At this point I'm not sure we'll stay past the contract.,0
T-2009,pro,33,45,543.66,6,1.2,"Hi, we've been having trouble with the webhook retries again. Our other vendor handles this without any fuss. Happy to jump on a call whenever suits. Cheers.",0
T-2010,free,53,4,21.38,2,35.8,We need help with the API rate limits. Our other vendor handles this without any fuss.,0
T-2011,free,15,1,30.07,8,2.8,"Hello support, the weekly digest email is not working as expected. A colleague has been pushing us towards Brightloom for this reason. We are seriously reconsidering the renewal.",1
T-2012,pro,9,18,219.37,6,3.2,Logging a ticket about the mobile app sync. There's a line on the bill nobody here recognises. No rush on this one. Appreciate it.,0
T-2013,pro,30,21,278.07,9,2.9,Logging a ticket about the SSO login flow. This is stopping our month-end close right now. Appreciate it.,0
T-2014,pro,30,9,142.99,4,2.7,"Hi, we've been having trouble with the seat provisioning screen again. No rush on this one.",0
T-2015,pro,13,60,749.25,1,4.3,Quick one - the CSV export keeps failing for us. We reported the same thing last month and it came back. Our customers are seeing errors because of it. Frankly the equivalent feature in Zendrift just works. Thanks for your help.,0
T-2016,pro,31,19,245.27,2,5.0,Raising this again: the CSV export. Same symptoms as the ticket we opened in the spring. We are seriously reconsidering the renewal.,0
T-2017,free,24,5,7.69,2,1.1,Quick one - the Slack integration keeps failing for us. Many thanks.,0
T-2018,pro,20,23,303.68,9,3.2,"Hello support, the weekly digest email is not working as expected. Same symptoms as the ticket we opened in the spring.",1
T-2019,enterprise,44,427,9408.89,1,14.3,"Hello support, the webhook retries is not working as expected. We reported the same thing last month and it came back. Thanks for your help.",1
T-2020,enterprise,51,327,7227.14,1,0.8,"Hello support, the invoice download is not working as expected.",0
T-2021,pro,36,6,107.2,4,9.9,"Hello support, the dashboard filters is not working as expected. Same symptoms as the ticket we opened in the spring. Whenever someone gets a chance is fine.",0
T-2022,pro,20,49,600.52,3,2.3,"Hello support, the audit log is not working as expected. Not urgent, just logging it.",0
T-2023,pro,23,42,509.25,0,17.9,"Hi, we've been having trouble with the invoice download again. We are trialling Coalesce alongside you at the moment. Thanks for your help.",1
T-2024,pro,13,23,283.87,5,10.1,the invoice download has been unreliable this week. Same symptoms as the ticket we opened in the spring. Nobody in the office can work until this clears. At this point I'm not sure we'll stay past the contract. Many thanks.,0
T-2025,pro,60,22,280.89,7,5.1,Raising this again: the Slack integration. Same symptoms as the ticket we opened in the spring. Our customers are seeing errors because of it. Frankly the equivalent feature in Zendrift just works. Appreciate it.,0
T-2026,enterprise,28,497,10966.99,1,3.0,"Raising this again: the dashboard filters. Not urgent, just logging it.",0
T-2027,pro,46,24,298.04,6,3.6,Quick one - the Slack integration keeps failing for us. Happy to jump on a call whenever suits. Many thanks.,1
T-2028,free,25,2,2.19,2,0.3,Logging a ticket about the invoice download. My team is completely blocked and cannot ship today. We are trialling Coalesce alongside you at the moment.,1
T-2029,enterprise,38,377,8306.26,1,1.1,Quick one - the weekly digest email keeps failing for us. At this point I'm not sure we'll stay past the contract. Many thanks.,0
T-2030,pro,8,22,272.45,5,25.7,"Hi, we've been having trouble with the billing portal again. Whenever someone gets a chance is fine.",0
T-2031,pro,57,26,313.95,2,0.7,Raising this again: the dashboard filters. We've been round this loop before with your team. No rush on this one. Appreciate it.,0
T-2032,free,28,3,1.17,9,5.0,Logging a ticket about the webhook retries. We reported the same thing last month and it came back. The invoice does not match the seats we agreed. I've been asked to justify keeping this contract. How do I get a full export of everything before we wind down? Many thanks.,1
T-2033,free,31,1,34.8,8,0.4,Logging a ticket about the audit log. We've been round this loop before with your team. A colleague has been pushing us towards Brightloom for this reason. No rush on this one. Appreciate it.,1
T-2034,pro,7,59,718.14,7,0.9,the Slack integration has been unreliable this week. What notice period do we need to give to terminate? Thanks for your help.,1
T-2035,free,48,2,0.99,8,2.5,"Hello support, the audit log is not working as expected. Nobody in the office can work until this clears. The invoice does not match the seats we agreed.",0
T-2036,pro,51,37,449.15,5,37.7,"Hi, we've been having trouble with the API rate limits again. We've been round this loop before with your team. The invoice does not match the seats we agreed. A colleague has been pushing us towards Brightloom for this reason.",1
T-2037,pro,41,47,591.02,6,17.2,"Hello support, the seat provisioning screen is not working as expected.",0
T-2038,pro,12,37,476.34,8,8.7,"Logging a ticket about the dashboard filters. Not urgent, just logging it. Thanks for your help.",0
T-2039,pro,6,47,590.06,1,1.6,Raising this again: the API rate limits. Happy to jump on a call whenever suits. Thanks for your help.,0
T-2040,free,48,2,11.0,3,17.5,We need help with the Slack integration. Appreciate it.,1
T-2041,pro,31,7,97.23,2,6.3,Quick one - the mobile app sync keeps failing for us. We reported the same thing last month and it came back. What notice period do we need to give to terminate?,0
T-2042,free,1,1,7.33,6,1.7,"Hi, we've been having trouble with the seat provisioning screen again. We are trialling Coalesce alongside you at the moment. Appreciate it.",1
T-2043,free,9,4,21.4,6,7.5,Raising this again: the Slack integration. We reported the same thing last month and it came back. Frankly the equivalent feature in Zendrift just works.,0
T-2044,pro,53,26,321.88,0,30.4,"the dashboard filters has been unreliable this week. Not urgent, just logging it. Appreciate it.",0
T-2045,enterprise,10,594,13094.03,8,0.4,"We need help with the weekly digest email. We reported the same thing last month and it came back. The invoice does not match the seats we agreed. Not urgent, just logging it.",0
T-2046,pro,23,25,333.19,0,17.8,"Hello support, the weekly digest email is not working as expected. Same symptoms as the ticket we opened in the spring. Whenever someone gets a chance is fine. Appreciate it.",0
T-2047,pro,14,11,141.28,1,23.5,"Hello support, the mobile app sync is not working as expected. No rush on this one.",0
T-2048,enterprise,17,745,16416.62,0,4.5,"Hi, we've been having trouble with the SSO login flow again. Same symptoms as the ticket we opened in the spring. We are trialling Coalesce alongside you at the moment. At this point I'm not sure we'll stay past the contract. Cheers.",0
T-2049,enterprise,35,446,9841.75,2,0.3,Raising this again: the CSV export. This is the fourth time we've raised it. Appreciate it.,0
T-2050,pro,41,11,167.41,4,2.3,We need help with the Slack integration. This is the fourth time we've raised it. Whenever someone gets a chance is fine. Many thanks.,0
T-2051,pro,54,7,96.71,5,5.0,Quick one - the invoice download keeps failing for us. We reported the same thing last month and it came back.,0
T-2052,free,16,1,7.72,3,39.4,We need help with the billing portal. This is the fourth time we've raised it. Happy to jump on a call whenever suits.,1
T-2053,pro,18,7,104.52,0,0.5,Raising this again: the webhook retries. We reported the same thing last month and it came back. Cheers.,0
T-2054,pro,13,11,145.87,0,18.5,"the SSO login flow has been unreliable this week. Not urgent, just logging it. Thanks for your help.",0
T-2055,pro,1,18,241.81,8,0.3,Logging a ticket about the API rate limits. Frankly the equivalent feature in Zendrift just works. Whenever someone gets a chance is fine.,0
T-2056,free,28,2,17.09,9,19.5,"Hi, we've been having trouble with the seat provisioning screen again. Same symptoms as the ticket we opened in the spring. Frankly the equivalent feature in Zendrift just works. Happy to jump on a call whenever suits. Cheers.",0
T-2057,pro,34,40,517.93,1,38.1,"Hello support, the Slack integration is not working as expected. This is the fourth time we've raised it. The invoice does not match the seats we agreed. Happy to jump on a call whenever suits.",1
T-2058,enterprise,28,789,17381.53,2,3.6,"We need help with the webhook retries. We reported the same thing last month and it came back. Not urgent, just logging it. Cheers.",0
T-2059,pro,56,55,666.73,1,0.9,Logging a ticket about the Slack integration. We were also charged twice on the last invoice. If this isn't fixed we will be looking elsewhere. Cheers.,0
T-2060,free,57,4,0.88,2,0.8,Logging a ticket about the API rate limits. We were also charged twice on the last invoice. Cheers.,0
T-2061,pro,36,48,610.72,0,0.4,"Hello support, the webhook retries is not working as expected. We are trialling Coalesce alongside you at the moment. Happy to jump on a call whenever suits.",0
T-2062,pro,56,48,600.8,0,27.1,Raising this again: the audit log. Our customers are seeing errors because of it. Appreciate it.,1
T-2063,pro,38,7,94.35,0,20.7,the mobile app sync has been unreliable this week. Many thanks.,0
T-2064,enterprise,46,539,11875.13,4,1.0,We need help with the SSO login flow. Same symptoms as the ticket we opened in the spring. Appreciate it.,0
T-2065,free,7,3,17.62,8,21.1,Logging a ticket about the weekly digest email. No rush on this one. Many thanks.,1
T-2066,pro,58,19,230.79,7,0.5,"Hello support, the dashboard filters is not working as expected. Appreciate it.",0
T-2067,free,36,5,34.49,4,3.9,Quick one - the SSO login flow keeps failing for us. My team is completely blocked and cannot ship today. Cheers.,0
T-2068,pro,31,60,758.91,1,7.9,"Hello support, the API rate limits is not working as expected. We've been round this loop before with your team. We were also charged twice on the last invoice. Whenever someone gets a chance is fine. Cheers.",0
T-2069,pro,38,55,687.27,8,3.2,"Hi, we've been having trouble with the weekly digest email again. We are trialling Coalesce alongside you at the moment. No rush on this one. Cheers.",0
